Date : 2026-08-05 15:20:06
Directory : /Volumes/data/projects/poxenstudio/MyNexus/core-api
Total : 61 files,  5699 codes, 578 comments, 926 blanks, all 7203 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/service/admin_user_service.go                             | Go               |         96 |         10 |         15 |        121 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/service/audit_service.go                                  | Go               |         55 |          3 |         11 |         69 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/service/book_service.go                                   | Go               |        345 |         31 |         54 |        430 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/service/chat_service.go                                   | Go               |         93 |          0 |         15 |        108 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/service/task_service.go                                   | Go               |        133 |          6 |         23 |        162 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/service/token_service.go                                  | Go               |         81 |          5 |         13 |         99 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/database.go                                       | Go               |          7 |          4 |          3 |         14 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/migrator.go                                       | Go               |         82 |         15 |         11 |        108 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/postgres/migrations/0001_init.sql                 | MS SQL           |         81 |          3 |          8 |         92 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/postgres/migrations/0002_admin_users.sql          | MS SQL           |          7 |          1 |          2 |         10 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/postgres/migrations/0003_admin_audit_log.sql      | MS SQL           |         10 |          1 |          2 |         13 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/postgres/migrations/0004_chunk_keyword_search.sql | MS SQL           |          3 |         10 |          3 |         16 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/postgres/migrations/0005_admin_avatar.sql         | MS SQL           |          1 |          1 |          2 |          4 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/postgres/migrations/0006_book_summary.sql         | MS SQL           |          1 |          1 |          2 |          4 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/postgres/postgres.go                              | Go               |         33 |          5 |         10 |         48 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/postgres/qmark_driver.go                          | Go               |         93 |          7 |         17 |        117 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/sqlite/migrations/0001_init.sql                   | MS SQL           |         81 |          1 |          8 |         90 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/sqlite/migrations/0002_admin_users.sql            | MS SQL           |          7 |          4 |          2 |         13 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/sqlite/migrations/0003_admin_audit_log.sql        | MS SQL           |         10 |          3 |          2 |         15 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/sqlite/migrations/0004_admin_avatar.sql           | MS SQL           |          1 |          3 |          2 |          6 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/sqlite/migrations/0005_book_summary.sql           | MS SQL           |          1 |          4 |          2 |          7 |
| /Volumes/data/projects/poxenstudio/MyNexus/core-api/internal/storage/sqlite/sqlite.go                                  | Go               |         43 |         13 |         12 |         68 |
| Total                                                                                                                  |                  |      5,699 |        578 |        926 |      7,203 |
+------------------------------------------------------------------------------------------------------------------------+------------------+------------+------------+------------+------------+
